ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2019;BR;NULL;NULL;3,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL BRANCOS              ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2019;BR;NULL;NULL;6,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO HOMENS        ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2019;BR;NULL;NULL;5,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO MULHERES      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2019;BR;NULL;NULL;8,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL RAÇA PRETOS/PARDOS   ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2022;BR;NULL;NULL;5,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2022;BR;NULL;NULL;3,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL BRANCOS              ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2022;BR;NULL;NULL;5,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO HOMENS        ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2022;BR;NULL;NULL;5,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO MULHERES      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2022;BR;NULL;NULL;7,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL RAÇA PRETOS/PARDOS   ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2023;BR;NULL;NULL;5,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2023;BR;NULL;NULL;3,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL BRANCOS              ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2023;BR;NULL;NULL;5,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO HOMENS        ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2023;BR;NULL;NULL;5,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL GENERO MULHERES      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2023;BR;NULL;NULL;7,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO BRASIL RAÇA PRETOS/PARDOS   ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2017;CE;"Região Nordeste     ";"Ceará               ";13,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;CE;"Região Nordeste     ";"Ceará               ";12,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;CE;"Região Nordeste     ";"Ceará               ";12,7;NULL;NULL;NULL;NULL;51;0,562;5132227,836;3400336529,29;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;9132078;NULL
2022;CE;"Região Nordeste     ";"Ceará               ";12;NULL;NULL;NULL;NULL;50,7;0,518;4555787,726;5447539966,41;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;8794957;NULL
2023;CE;"Região Nordeste     ";"Ceará               ";11,5;NULL;NULL;NULL;NULL;48,7233692607258;0,513;4538537,1773739;6835302996,76;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;8847051,02801929;1166
2016;CO;"Região Centro-oeste ";NULL;5,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;CO;"Região Centro-oeste ";NULL;4,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;CO;"Região Centro-oeste ";NULL;4,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;CO;"Região Centro-oeste ";NULL;4,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2022;CO;"Região Centro-oeste ";NULL;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2023;CO;"Região Centro-oeste ";NULL;3,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2017;DF;"Região Centro-Oeste ";"Distrito Federal    ";2,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;DF;"Região Centro-Oeste ";"Distrito Federal    ";2,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;DF;"Região Centro-Oeste ";"Distrito Federal    ";2,5;NULL;NULL;NULL;NULL;18;0,554;1670458,472;4972352315,19;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;3015268;NULL
2022;DF;"Região Centro-Oeste ";"Distrito Federal    ";1,9;NULL;NULL;NULL;NULL;17,1;0,536;1510116,216;6291615058,45;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;2817381;NULL
2023;DF;"Região Centro-Oeste ";"Distrito Federal    ";1,7;NULL;NULL;NULL;NULL;15,4147755955307;0,543;1549763,48281615;5816639415,69;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;2854076,39560985;3357
2017;ES;"Região Sudeste      ";"Espírito Santo      ";5,1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;ES;"Região Sudeste      ";"Espírito Santo      ";5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;ES;"Região Sudeste      ";"Espírito Santo      ";4,8;NULL;NULL;NULL;NULL;27,7;0,52;2089698;1453407153,5;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;4018650;NULL
2022;ES;"Região Sudeste      ";"Espírito Santo      ";4,7;NULL;NULL;NULL;NULL;26,3;0,493;1890020,016;3079125778,27;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3833712;NULL
